Threshold %,Threshold Value,Precision,Recall,F1 Score,Flagged,True Positives,False Positives
90.0,1.1276693,0.24991670677081404,0.6751,0.36479074919622834,27013,6751,20262
95.0,1.9899439,0.40201274340499016,0.6751,0.5039375956406524,16793,6751,10042
97.5,3.925158,0.5294985250737463,0.5744,0.5510360706062931,10848,5744,5104
99.0,8.696085,0.6990632318501171,0.4776,0.5674904942965779,6832,4776,2056
