Threshold %,Threshold Value,Precision,Recall,F1 Score,Flagged,True Positives,False Positives
90.0,0.2778035,0.3288608260983952,1.0,0.49495149475351413,30408,10000,20408
95.0,0.46086437,0.4923440500221555,1.0,0.6598264656395368,20311,10000,10311
97.5,0.754354,0.662778366914104,1.0,0.7971938775510204,15088,10000,5088
99.0,1.4010134,0.8264462809917356,1.0,0.9049773755656109,12100,10000,2100
