Threshold %,Threshold Value,Precision,Recall,F1 Score,Flagged,True Positives,False Positives
90.0,-1.5782436341396182,0.3298370604921169,1.0,0.4960563520015874,30318,10000,20318
95.0,-1.014956885836787,0.4970425965505244,1.0,0.664032670407384,20119,10000,10119
97.5,-0.2628450688865285,0.6656460094521733,1.0,0.7992646764976222,15023,10000,5023
99.0,2.834484492791803,0.828363154406892,1.0,0.9061254077564335,12072,10000,2072
