Threshold %,Threshold Value,Precision,Recall,F1 Score,Flagged,True Positives,False Positives
90.0,1.3192053,0.3311916274756574,1.0,0.4975867044832562,30194,10000,20194
95.0,2.2201416,0.49972515116685823,1.0,0.6664223118189997,20011,10000,10011
97.5,4.2057915,0.6405386250885896,0.9038,0.7497304023226877,14110,9038,5072
99.0,8.963694,0.7967245657568238,0.8027,0.7997011207970112,10075,8027,2048
