Model,AUC-PR,Precision@97.5%,Recall@97.5%,F1@97.5%,Anomalies Flagged,Training Time (s)
One-Class SVM,0.9876084047466197,0.6656460094521733,1.0,0.7992646764976222,15023,5.448101758956909
Autoencoder,0.9841296298306212,0.662778366914104,1.0,0.7971938775510204,15088,88.42173290252686
CNN Autoencoder,0.9291804725188213,0.6405386250885896,0.9038,0.7497304023226877,14110,135.87106800079346
VAE,0.5940902995441264,0.5294985250737463,0.5744,0.5510360706062931,10848,18.863725662231445
Isolation Forest,0.5037181103719737,0.5427203757225434,0.6009,0.5703302961275627,11072,35.47646713256836
